"lam","Fobar","oza","ag","aw"
320,0.771813249281839,0.0094,0,0
321,0.771610679061601,0.0094,0,0
322,0.71410510932014,0.0094,0,0
323,0.686473360995852,0.0094,0,0
324,0.723454036067667,0.0094,0,0
325,0.817606605489954,0.0094,0,0
326,0.97278853973827,0.0094,0,0
327,0.99389286546441,0.0094,0,0
328,0.953928897223109,0.0094,0,0
329,1.02466186323013,0.0094,0,0
330,1.06803258059368,0.0094,0,0
331,1.0253935541015,0.0094,0,0
332,0.9852463208852,0.0094,0,0
333,0.9639426250133,0.0094,0,0
334,0.966613100063837,0.0094,0,0
335,0.978384225981486,0.0094,0,0
336,0.906547037982764,0.0094,0,0
337,0.836053599585065,0.0094,0,0
338,0.907438206990105,0.0094,0,0
339,0.97281008458347,0.0094,0,0
340,1.04549983881264,0.0094,0,0
341,0.97661882381104,0.0094,0,0
342,1.00186959782956,0.0094,0,0
343,1.01216840967124,0.0094,0,0
344,0.897803192626876,0.0094,0,0
345,0.895503423236514,0.0094,0,0
346,0.952666765081392,0.0094,0,0
347,0.948627578997766,0.0094,0,0
348,0.925227115384615,0.0094,0,0
349,0.930969730290457,0.0094,0,0
350,0.991675740096137,0.0094,0,0
351,1.08450351851852,0.0115,0,0
352,1.03855925233645,0.0092,0,0
353,1.05271462962963,0.0059,0,0
354,1.16744611111111,0.0037,0,0
355,1.17850289719626,0.0024,0,0
356,1.08458336448598,0.0016,0,0
357,0.958030370370367,0.001,0,0
358,0.86384093457944,7e-04,0,0
359,0.958618504672894,5e-04,0,0
360,1.05695700934579,3e-04,0,0
361,1.03770361111111,2e-04,0,0
362,1.03507747663551,2e-04,0,0
363,1.09736196261682,2e-04,0,0
364,1.11851719626168,1e-04,0,0
365,1.16580411214953,1e-04,0,0
366,1.28538962616822,1e-04,0,0
367,1.30965953271028,1e-04,0,0
368,1.24438420560748,1e-04,0,0
369,1.26380476635514,1e-04,0,0
370,1.29454925233645,1e-04,0,0
371,1.25643679245283,1e-04,0,0
372,1.19373728971963,1e-04,0,0
373,1.08476158878505,1e-04,0,0
374,1.00382663551402,1e-04,0,0
375,1.04093130841121,1e-04,0,0
